window,book,bed,cabinet,rug,stand,poster,mat1,mat2,drawer,icebox,gasrange,waterpurifiler,shelf,desk,wall
10,5,200,50,100,50,0,20,20,50,140,130,250,70,160,100
20,10,220,70,120,0,,30,30,70,200,150,0,100,180,200
40,20,320,100,140,,,40,40,100,0,170,,110,200,300
60,35,340,120,0,,,50,50,150,,200,,120,0,0
80,50,380,140,0,,,100,100,200,,250,,130,0,
100,60,0,160,0,0,0,0,0,0,0,350,,0,0,
200,80,0,0,,,,,,,,0,,,0,
300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,120,,,,,,,,,,,,,0,
0,150,,,,,,,,,,,,,,
0,200,,,,,,,,,,,,,,
0,250,,,,,,,,,,,,,,
0,350,,,,,,,,,,,,,,
0,550,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
